"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
1 0.4 0 100 0.005 5 1 0 0 10 116 0.5
2 0.45 0 100 0.005 5 1 0 0 10 116 0.5
3 0.5 0 100 0.005 5 1 0 0 10 116 0.5
4 0.55 0 100 0.005 5 1 0 0 10 116 0.5
5 0.6 0 100 0.005 5 1 0 0 10 116 0.5
6 0.65 0 100 0.005 5 1 0 0 10 116 0.5
7 0.7 0 100 0.005 5 1 0 0 10 116 0.5
8 0.75 0 100 0.005 5 1 0 0 10 116 0.5
9 0.8 0 100 0.005 5 1 0 0 10 116 0.5
10 0.4 100 100 0.005 5 1 0 0 10 116 0.5
11 0.45 100 100 0.005 5 1 0 0 10 116 0.5
12 0.5 100 100 0.005 5 1 0 0 10 116 0.5
13 0.55 100 100 0.005 5 1 0 0 10 116 0.5
14 0.6 100 100 0.005 5 1 0 0 10 116 0.5
15 0.65 100 100 0.005 5 1 0 0 10 116 0.5
16 0.7 100 100 0.005 5 1 0 0 10 116 0.5
17 0.75 100 100 0.005 5 1 0 0 10 116 0.5
18 0.8 100 100 0.005 5 1 0 0 10 116 0.5
19 0.4 200 100 0.005 5 1 0 0 10 116 0.5
20 0.45 200 100 0.005 5 1 0 0 10 116 0.5
21 0.5 200 100 0.005 5 1 0 0 10 116 0.5
22 0.55 200 100 0.005 5 1 0 0 10 116 0.5
23 0.6 200 100 0.005 5 1 0 0 10 116 0.5
24 0.65 200 100 0.005 5 1 0 0 10 116 0.5
25 0.7 200 100 0.005 5 1 0 0 10 116 0.5
26 0.75 200 100 0.005 5 1 0 0 10 116 0.5
27 0.8 200 100 0.005 5 1 0 0 10 116 0.5
28 0.4 300 100 0.005 5 1 0 0 10 116 0.5
29 0.45 300 100 0.005 5 1 0 0 10 116 0.5
30 0.5 300 100 0.005 5 1 0 0 10 116 0.5
31 0.55 300 100 0.005 5 1 0 0 10 116 0.5
32 0.6 300 100 0.005 5 1 0 0 10 116 0.5
33 0.65 300 100 0.005 5 1 0 0 10 116 0.5
34 0.7 300 100 0.005 5 1 0 0 10 116 0.5
35 0.75 300 100 0.005 5 1 0 0 10 116 0.5
36 0.8 300 100 0.005 5 1 0 0 10 116 0.5
37 0.4 0 500 0.005 5 1 0 0 10 116 0.5
38 0.45 0 500 0.005 5 1 0 0 10 116 0.5
39 0.5 0 500 0.005 5 1 0 0 10 116 0.5
40 0.55 0 500 0.005 5 1 0 0 10 116 0.5
41 0.6 0 500 0.005 5 1 0 0 10 116 0.5
42 0.65 0 500 0.005 5 1 0 0 10 116 0.5
43 0.7 0 500 0.005 5 1 0 0 10 116 0.5
44 0.75 0 500 0.005 5 1 0 0 10 116 0.5
45 0.8 0 500 0.005 5 1 0 0 10 116 0.5
46 0.4 100 500 0.005 5 1 0 0 10 116 0.5
47 0.45 100 500 0.005 5 1 0 0 10 116 0.5
48 0.5 100 500 0.005 5 1 0 0 10 116 0.5
49 0.55 100 500 0.005 5 1 0 0 10 116 0.5
50 0.6 100 500 0.005 5 1 0 0 10 116 0.5
51 0.65 100 500 0.005 5 1 0 0 10 116 0.5
52 0.7 100 500 0.005 5 1 0 0 10 116 0.5
