run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
3051,0,0,0,0,0,0,732.7766,13633458142.6689,0,0,0,0,0,0,0,0,0.16329,7.22370786485169e-05,0,0,0,1846212.18450707,0,0,0,0,0.0827269723232323,0,0,0,1257.0686024898,0,0,0,0,0.000186707448979592
3052,0,0,0,0,0,0,3439.6946,263900381541.05,0,0,0,0,0,0,0,0,0.228868,2.76638798982018e-05,0,0,0,19190986.2900424,0,0,0,0,0.0855867107070707,0,0,0,13913.1916212653,0,0,0,0,0.000180035689795918
3053,0,0,0,0,0,0,6535.851,652285227128.766,0,0,0,0,0,0,0,0,0.279908,8.11248222128961e-05,0,0,0,43188166.4855293,0,0,0,0,0.0851685733333333,0,0,0,38761.0842091837,0,0,0,0,0.000354473404081633
3054,0,0,0,0,0,0,9862.0716,2352372867303.2,0,0,0,0,0,0,0,0,0.336352,0.000156833732560642,0,0,0,61500843.6501535,0,0,0,0,0.0847314949494949,0,0,0,128706.679613714,0,0,0,0,0.000495338873469388
3055,0.42,18848.5126530612,143.332,1169965068.76736,431.61,47228367160.5733,13269.8948,13525926532663.8,0.075541532070218,0.00382126266752835,0.00221575700267258,0.163265306122449,0.35064,0.0154740058096327,0.559,0.0107569181045624,0.382318,0.000137299145604365,59.76,17641.072,198556.848222222,65705098.7165414,0.0291912860642797,0.2,0.0862384,0.161198088888889,0.0725621383838384,0.860816326530612,55508.7307918367,171162.933163265,215907.255874449,0.0251238509967416,2.59585282673601e-05,0.160795173877551,0.0920321632653061,0.000633438648979592
3056,0,0,0,0,0,0,732.6778,16195494655.0608,0,0,0,0,0,0,0,0,0.164544,5.70443158804843e-05,0,0,0,1836407.74579192,0,0,0,0,0.083133042020202,0,0,0,1242.98127873469,0,0,0,0,0.000145878024489796
3057,0,0,0,0,0,0,3218.8394,275672015312.54,0,0,0,0,0,0,0,0,0.221486,3.37169501000506e-05,0,0,0,18340266.1260747,0,0,0,0,0.0844375488888889,0,0,0,12329.6208098367,0,0,0,0,0.000169345310204082
3058,0,0,0,0,0,0,5740.1478,811582282716.298,0,0,0,0,0,0,0,0,0.257062,3.37865454708282e-05,0,0,0,41263971.1214323,0,0,0,0,0.0838108624242424,0,0,0,43972.3421807755,0,0,0,0,0.000198484036734694
3059,0,0,0,0,0,0,8222.5694,1382494454302.02,0,0,0,0,0,0,0,0,0.294432,4.64531888806175e-05,0,0,0,62244857.8719253,0,0,0,0,0.0825318391919192,0,0,0,77555.5554873877,0,0,0,0,0.000481343444897959
3060,0,0,0,0,0.446,494594.6882,10861.616,4006379435709.25,0,0,0,0,0,0,0.002,2e-04,0.329468,5.08875525815094e-05,0,0,99.458,76175610.4828081,0,0,0,0.002,0.075052183030303,0,0,9.9458,209164.232412245,0,0,0,2e-04,0.000316016097959184
